Sentences,Verb,SRL Cause,Nom,Nominal Cause,Location,Vehicle,Temporal,Date,Comment
"Guadalupe Palacios, 81, and London Pena, 6, killed in wreck on Loop 280 near White Settlement Road in Fort Worth, Texas .",,,wreck,Wreck,Fort Worth,,in wreck,,
"Luis Aleman-Mendoza, 18, killed and two people injured in four-vehicle car wreck on Interstate 35E in Lewisville, Texas .",,,wreck,Wreck,Lewisville,Car,Wreck,,
"Five people injured in road-rage related crash at South Lancaster Road and Motor City Boulevard in Dallas, Texas .",,,crash,Crash(Crash),Motor  City  Boulevard,,,,
"Two men seriously hurt after car strikes multiple objects, nearly hits house on East Ledbetter Drive in Dallas, TX.",,,strikes,Strike,Dallas,Car,"after car strikes multiple objects, nearly hits house on East Ledbetter Drive in Dallas, TX",,
"Colby Bozo and Kristin Bozo killed after their car is hit by a speeding, stolen vehicle allegedly driven by Jason Bernard Miller, 29, at Murphy Drive and Martin Drive in Bedford, TX .",kill,Hit,,,Bedford,Car,"by a speeding, stolen vehicle allegedly driven by Jason Bernard Miller, 29, at Murphy Drive and Martin Drive in Bedford, TX",,
"Three seriously hurt after crash involving three vehicles on I-20 in Forney, TX",involve ,crash,,,Forney,vehicle,,,
"One person killed in rollover crash on Interstate 20 near South Cockrell Hill Road in Dallas, Texas .",,,crash,Crash,South Cockrell,,,,
"One man killed, other man injured after truck hits Department of Transportation sign off of I-35 in Dallas, TX .",,,,,,,,,
"Police officer Evan Wincovitch has been arrested for suspicion of DUI after a single-vehicle accident on Randol Mill Road in Fort Worth, Texas .",arrest,Arrest,,,Fort Worth,vehicle,,,
"Ricky Joe Katcher, 51, dies after falling from an overpass after a car accident on Interstate 20 near Benbrook, Texas .",,,,,Benbrook,,,,
"Jorge Cabrera seriously injured in crash following high-speed police chase at Josey Lane and Haymeadow in Carrollton, Texas .",,,,,Carrollton,,"following high-speed police chase at Josey Lane and Haymeadow in Carrollton, Texas",,
"Rosanely Frire, 30, killed after being struck by drunk driver at the corner of Valwood Parkway and Webb Chapel Road in Fort Worth, Texas .",strike,Struck,,,Fort Worth,,after being struck by drunk driver .,,
"Sylvia Zazueta, 24, killed and several people injured when vehicle driven by alleged drunk driver Isaac Adams, 19, crashes into convenience store at Riverside Drive and East Lancaster Avenue In Fort Worth, Texas .",,,crashes,Crash,Fort Worth,,,,
"10 vehicles and an 18-wheeler involved in crash on I-30 near South Barry Avenue in Dallas, Texas .",involve ,,crash,crash,Dallas,vehicle,"I-30 near South Barry Avenue in Dallas, Texas/location",,
"Mary Hernandez, 43, Clarissa Alexandra Banda-Castillo, 18, Veronica Gonzalez, 42, Steven Franklin, 45, and Claudia Barraza, 37, killed, and several injured in multiple-vehicle accident on Interstate 30 in Fort Worth, Texas .",involve ,,accident,accident,Fort Worth,Vehicle,"in multiple-vehicle accident on Interstate 30 in Fort Worth, Texas .",,
"Dale Neibaur, 19, Holly Novak, 18, Kyle Mathers, 19, and Kenneth G. Frazier, 78, killed, and Hannah Galbaith, 18, and Kevin DiCicco, 19, injured in wrong-way crash between passenger vehicle and tractor trailer on Interstate 30 near Greenville, Texas .",,,crash,Crash,Greenville,,,,
"Christopher Covington, 35, killed in car crash into wall off of Denton Tap Road in Coppell, Texas. ",,,crash,Crash,Coppell,Car,,,
"Two people injured in multi-vehicle car crash on I-35E in Carrollton, Texas  ",,,crash,Crash,Carrollton,,,,
"Earl Cook, 72, killed in crash involving stalled vehicle on I-20 in Fort Worth, Texas .",,,crash,Crash,Fort Worth,,,,
"Thomas Aring, 64, killed and two people injured in multi-vehicle crash at Farm to Market Road 423 and Main Street in Frisco, Texas .",,,crash,Crash,Frisco,,,,
"Jeanmarie Kramer, 17, dies in head-on crash on Highway 67 in Johnson County, Texas",,,crash,Crash,Johnson County,,,,
"Two killed in car crash into Prairie Creek off of U.S. 175 service road in Dallas, Texas",,,crash,Crash,Dallas,,,,
"Jessica Moreno, Fidencio Moreno, Marcello Moreno, and Kevin Moreno killed in car crash with tractor trailer on Interstate 20 in Dallas, Texas",,,crash,Crash,Dallas,Car,,,
"Luis Reyes, 18, and Andres Mendez, 16, killed in suspected street-racing crash on Regal Row in Dallas, Texas .",,,crash,Crash,Dallas,,,,
